id,migration,batch
1,0001_01_01_000000_create_users_table,1
2,0001_01_01_000001_create_cache_table,1
3,0001_01_01_000002_create_jobs_table,1
4,2026_09_10_000001_create_ambalan_tables,1
5,2026_09_10_141820_add_angkatan_and_nta_username_to_members,1
6,2026_09_11_000000_create_pwa_additional_tables,1
7,2026_09_15_000000_create_angkatan_table,1
8,2026_09_16_000000_add_status_to_users_table,1
9,2026_09_16_000000_create_sku_submission_media_table,1
10,2026_09_16_000001_add_logo_path_to_ambalans_table,1
11,2026_09_16_073017_add_nomor_to_angkatan_table,1
12,2026_09_16_081918_add_image_to_announcements_table,1
13,2026_09_16_083000_create_sessions_table,1
14,2026_09_16_084500_add_isi_surat_to_letters_table,1
15,2026_09_16_085000_create_letter_templates_table,1
16,2026_09_16_092118_add_current_flag_to_angkatans_table,1
17,2026_09_16_100000_create_pengurus_positions_table,1
18,2026_09_16_100000_create_tkk_tables,1
19,2026_09_16_100001_create_tkk_submission_media_table,1
20,2026_09_16_100100_create_member_positions_table,1
21,2026_09_16_101000_add_template_id_to_letters_table,1
22,2026_09_16_113500_add_kegiatan_fields_to_letters_table,1
23,2026_09_16_120000_add_foto_to_users_table,1
24,2026_09_16_120100_add_ktp_fields_to_members_table,1
25,2026_09_16_155524_add_timestamps_to_member_positions_table,1
26,2026_09_19_160953_add_materi_to_attendance_sessions_table,2
27,2026_09_22_000001_create_events_table,2
28,2026_09_22_000002_create_meetings_table,2
29,2026_09_22_000003_create_assessments_table,2
30,2026_09_22_000004_create_certificates_table,2
31,2026_09_22_000005_create_field_guides_table,2
32,2026_09_22_000006_create_articles_table,2
33,2026_09_22_000007_create_galleries_table,2
34,2026_09_22_000008_create_teams_table,2
35,2026_09_22_000009_create_reminders_table,2
36,2026_09_22_000010_create_user_permissions_table,2
37,2026_09_22_000011_create_trainings_table,2
38,2026_09_22_000012_create_health_safety_table,2
39,2026_09_22_000013_create_candidates_table,2
40,2026_09_22_000014_create_backup_webhooks_table,2
41,2026_09_22_000015_create_system_points_table,2
42,2026_09_23_032235_add_is_read_to_notifications_table,2
