id,name,code,description,is_putra,created_at,updated_at
1,Pradana Putra,pradana_putra,Pradana Pengurus Putra,1,2026-09-20 06:13:38,2026-09-20 06:13:38
2,Pradana Putri,pradana_putri,Pradana Pengurus Putri,0,2026-09-20 06:13:38,2026-09-20 06:13:38
3,Pemangku Adat Putra,pemangku_adat_putra,Pemangku Adat Pengurus Putra,1,2026-09-20 06:13:38,2026-09-20 06:13:38
4,Pemangku Adat Putri,pemangku_adat_putri,Pemangku Adat Pengurus Putri,0,2026-09-20 06:13:38,2026-09-20 06:13:38
5,Kerani Putra,kerani_putra,Kerani Pengurus Putra,1,2026-09-20 06:13:38,2026-09-20 06:13:38
6,Kerani Putri,kerani_putri,Kerani Pengurus Putri,0,2026-09-20 06:13:38,2026-09-20 06:13:38
7,Juru Uang Putra,juru_uang_putra,Juru Uang Pengurus Putra,1,2026-09-20 06:13:38,2026-09-20 06:13:38
8,Juru Uang Putri,juru_uang_putri,Juru Uang Pengurus Putri,0,2026-09-20 06:13:38,2026-09-20 06:13:38
9,Pembantu Pembina Putra,pembantu_pembina_putra,Pembantu Pembina Pengurus Putra,1,2026-09-20 06:13:38,2026-09-20 06:13:38
10,Pembantu Pembina Putri,pembantu_pembina_putri,Pembantu Pembina Pengurus Putri,0,2026-09-20 06:13:38,2026-09-20 06:13:38
