id,nama,slug,deskripsi,is_active,created_at,updated_at
1,SKK Pertolongan Pertama Pada Kecelakaan (P3K) - Tingkat 1,skk-pertolongan-pertama-pada-kecelakaan-p3k-tingkat-1,TKK Wajib Penegak: SKK Pertolongan Pertama Pada Kecelakaan (P3K) pada Tingkat 1,1,2026-09-16 11:47:37,2026-09-16 11:47:37
2,SKK Pertolongan Pertama Pada Kecelakaan (P3K) - Tingkat 2,skk-pertolongan-pertama-pada-kecelakaan-p3k-tingkat-2,TKK Wajib Penegak: SKK Pertolongan Pertama Pada Kecelakaan (P3K) pada Tingkat 2,1,2026-09-16 11:47:37,2026-09-16 11:47:37
3,SKK Pertolongan Pertama Pada Kecelakaan (P3K) - Tingkat 3,skk-pertolongan-pertama-pada-kecelakaan-p3k-tingkat-3,TKK Wajib Penegak: SKK Pertolongan Pertama Pada Kecelakaan (P3K) pada Tingkat 3,1,2026-09-16 11:47:37,2026-09-16 11:47:37
4,SKK Pengatur Rumah - Tingkat 1,skk-pengatur-rumah-tingkat-1,TKK Wajib Penegak: SKK Pengatur Rumah pada Tingkat 1,1,2026-09-16 11:47:37,2026-09-16 11:47:37
5,SKK Pengatur Rumah - Tingkat 2,skk-pengatur-rumah-tingkat-2,TKK Wajib Penegak: SKK Pengatur Rumah pada Tingkat 2,1,2026-09-16 11:47:37,2026-09-16 11:47:37
6,SKK Pengatur Rumah - Tingkat 3,skk-pengatur-rumah-tingkat-3,TKK Wajib Penegak: SKK Pengatur Rumah pada Tingkat 3,1,2026-09-16 11:47:37,2026-09-16 11:47:37
7,SKK Pengamat - Tingkat 1,skk-pengamat-tingkat-1,TKK Wajib Penegak: SKK Pengamat pada Tingkat 1,1,2026-09-16 11:47:37,2026-09-16 11:47:37
8,SKK Pengamat - Tingkat 2,skk-pengamat-tingkat-2,TKK Wajib Penegak: SKK Pengamat pada Tingkat 2,1,2026-09-16 11:47:37,2026-09-16 11:47:37
9,SKK Pengamat - Tingkat 3,skk-pengamat-tingkat-3,TKK Wajib Penegak: SKK Pengamat pada Tingkat 3,1,2026-09-16 11:47:37,2026-09-16 11:47:37
10,SKK Juru Masak - Tingkat 1,skk-juru-masak-tingkat-1,TKK Wajib Penegak: SKK Juru Masak pada Tingkat 1,1,2026-09-16 11:47:37,2026-09-16 11:47:37
11,SKK Juru Masak - Tingkat 2,skk-juru-masak-tingkat-2,TKK Wajib Penegak: SKK Juru Masak pada Tingkat 2,1,2026-09-16 11:47:37,2026-09-16 11:47:37
12,SKK Juru Masak - Tingkat 3,skk-juru-masak-tingkat-3,TKK Wajib Penegak: SKK Juru Masak pada Tingkat 3,1,2026-09-16 11:47:37,2026-09-16 11:47:37
13,SKK Berkemah - Tingkat 1,skk-berkemah-tingkat-1,TKK Wajib Penegak: SKK Berkemah pada Tingkat 1,1,2026-09-16 11:47:37,2026-09-16 11:47:37
14,SKK Berkemah - Tingkat 2,skk-berkemah-tingkat-2,TKK Wajib Penegak: SKK Berkemah pada Tingkat 2,1,2026-09-16 11:47:37,2026-09-16 11:47:37
15,SKK Berkemah - Tingkat 3,skk-berkemah-tingkat-3,TKK Wajib Penegak: SKK Berkemah pada Tingkat 3,1,2026-09-16 11:47:37,2026-09-16 11:47:37
16,SKK Penabung - Tingkat 1,skk-penabung-tingkat-1,TKK Wajib Penegak: SKK Penabung pada Tingkat 1,1,2026-09-16 11:47:37,2026-09-16 11:47:37
17,SKK Penabung - Tingkat 2,skk-penabung-tingkat-2,TKK Wajib Penegak: SKK Penabung pada Tingkat 2,1,2026-09-16 11:47:37,2026-09-16 11:47:37
18,SKK Penabung - Tingkat 3,skk-penabung-tingkat-3,TKK Wajib Penegak: SKK Penabung pada Tingkat 3,1,2026-09-16 11:47:37,2026-09-16 11:47:37
19,SKK Penjahit - Tingkat 1,skk-penjahit-tingkat-1,TKK Wajib Penegak: SKK Penjahit pada Tingkat 1,1,2026-09-16 11:47:37,2026-09-16 11:47:37
20,SKK Penjahit - Tingkat 2,skk-penjahit-tingkat-2,TKK Wajib Penegak: SKK Penjahit pada Tingkat 2,1,2026-09-16 11:47:37,2026-09-16 11:47:37
21,SKK Penjahit - Tingkat 3,skk-penjahit-tingkat-3,TKK Wajib Penegak: SKK Penjahit pada Tingkat 3,1,2026-09-16 11:47:37,2026-09-16 11:47:37
22,SKK Juru Kebun - Tingkat 1,skk-juru-kebun-tingkat-1,TKK Wajib Penegak: SKK Juru Kebun pada Tingkat 1,1,2026-09-16 11:47:37,2026-09-16 11:47:37
23,SKK Juru Kebun - Tingkat 2,skk-juru-kebun-tingkat-2,TKK Wajib Penegak: SKK Juru Kebun pada Tingkat 2,1,2026-09-16 11:47:37,2026-09-16 11:47:37
24,SKK Juru Kebun - Tingkat 3,skk-juru-kebun-tingkat-3,TKK Wajib Penegak: SKK Juru Kebun pada Tingkat 3,1,2026-09-16 11:47:37,2026-09-16 11:47:37
25,SKK Pengaman Kampung - Tingkat 1,skk-pengaman-kampung-tingkat-1,TKK Wajib Penegak: SKK Pengaman Kampung pada Tingkat 1,1,2026-09-16 11:47:37,2026-09-16 11:47:37
26,SKK Pengaman Kampung - Tingkat 2,skk-pengaman-kampung-tingkat-2,TKK Wajib Penegak: SKK Pengaman Kampung pada Tingkat 2,1,2026-09-16 11:47:37,2026-09-16 11:47:37
27,SKK Pengaman Kampung - Tingkat 3,skk-pengaman-kampung-tingkat-3,TKK Wajib Penegak: SKK Pengaman Kampung pada Tingkat 3,1,2026-09-16 11:47:37,2026-09-16 11:47:37
28,SKK Gerak Jalan - Tingkat 1,skk-gerak-jalan-tingkat-1,TKK Wajib Penegak: SKK Gerak Jalan pada Tingkat 1,1,2026-09-16 11:47:37,2026-09-16 11:47:37
29,SKK Gerak Jalan - Tingkat 2,skk-gerak-jalan-tingkat-2,TKK Wajib Penegak: SKK Gerak Jalan pada Tingkat 2,1,2026-09-16 11:47:37,2026-09-16 11:47:37
30,SKK Gerak Jalan - Tingkat 3,skk-gerak-jalan-tingkat-3,TKK Wajib Penegak: SKK Gerak Jalan pada Tingkat 3,1,2026-09-16 11:47:37,2026-09-16 11:47:37
